SID,ISO_TIME,GEN_LON,GEN_LAT,LON,LAT,PRES,WIND,LANDFRAC
1952103018_aaa,1952-11-05 23:00:00,-77.81,13.56,-77.96666666666667,18.23,99006.33333333331,22.881666666666668,1.0
1952103018_aaa,1952-11-07 22:00:00,-77.81,13.56,-77.81,20.726666666666667,98878.0,22.55333333333333,1.0
1964080900_aac,1964-08-14 05:00:00,-19.69000000000005,18.23,-67.34333333333333,18.075,100518.66666666669,14.453333333333331,1.0
1967100818_aae,1967-10-11 16:00:00,-76.88,16.36,-86.87666666666667,21.35,100229.33333333331,16.033333333333335,1.0
1992100206_aar,1992-10-09 21:00:00,-80.62,13.56,-80.155,21.97,100057.5,14.895,1.0
1992100206_aar,1992-10-11 06:00:00,-80.62,13.56,-78.27999999999997,24.78,99747.0,16.55,1.0
1999101606_aau,1999-10-22 06:00:00,-79.69,14.49,-84.38,21.97,99733.0,15.69,1.0
2001090500_aaw,2001-09-07 16:00:00,-74.06,21.97,-80.31,25.55666666666667,100766.0,12.853333333333332,1.0
2007100718_aay,2007-10-15 09:00:00,-80.62,13.56,-81.09,25.245,99433.0,17.695,1.0
2007100718_aay,2007-10-16 18:00:00,-80.62,13.56,-81.56,22.91,100084.0,14.91,1.0
2010102606_aaz,2010-10-28 10:00:00,-78.75,16.36,-77.19,18.23333333333333,99770.0,18.486666666666665,1.0
2011100712_aba,2011-10-09 09:00:00,-79.69,16.36,-77.345,20.105,99826.5,18.055,1.0
